Reach to Deadlock States:
----------------------------------------------------------------------
| No. | State       | Previous State | Transition           |
| 165 | (0, 4, 4, 0) | (10, 3, 3, 5) | t(4,0)               |
| 166 | (0, 4, 4, 1) | (10, 3, 3, 0) | t(4,1)               |
| 167 | (0, 4, 5, 0) | (10, 3, 4, 5) | t(4,0)               |
| 168 | (0, 4, 5, 1) | (10, 3, 4, 0) | t(4,1)               |
| 169 | (1, 3, 4, 0) | (0, 2, 3, 5) | t(4,0)               |
| 170 | (1, 3, 4, 1) | (0, 2, 3, 1) | t(3,4)               |
| 171 | (1, 3, 5, 0) | (0, 2, 4, 5) | t(4,0)               |
| 172 | (1, 3, 5, 1) | (0, 3, 5, 1) | t(1,1)               |
| 173 | (1, 4, 4, 0) | (0, 3, 3, 5) | t(4,0)               |
| 174 | (1, 4, 4, 1) | (0, 3, 3, 0) | t(4,1)               |
| 175 | (1, 4, 5, 0) | (0, 3, 4, 5) | t(4,0)               |
| 176 | (1, 4, 5, 1) | (0, 3, 4, 0) | t(4,1)               |
| 177 | (1, 4, 5, 2) | (0, 3, 4, 1) | t(4,2)               |
| 178 | (1, 4, 0, 1) | (0, 3, 5, 0) | t(4,1)               |
| 179 | (1, 4, 0, 2) | (1, 3, 5, 2) | t(3,0)               |
| 180 | (1, 5, 5, 1) | (0, 4, 4, 0) | t(4,1)               |
| 181 | (1, 5, 5, 2) | (0, 4, 4, 1) | t(4,2)               |
| 182 | (1, 5, 0, 1) | (0, 4, 5, 0) | t(4,1)               |
| 183 | (1, 5, 0, 2) | (0, 4, 5, 1) | t(4,2)               |
| 184 | (2, 4, 5, 1) | (1, 3, 4, 0) | t(4,1)               |
| 185 | (2, 4, 5, 2) | (1, 3, 5, 2) | t(2,4)               |
| 186 | (2, 4, 0, 1) | (1, 3, 5, 0) | t(4,1)               |
| 187 | (2, 4, 0, 2) | (1, 3, 5, 2) | t(3,0)               |
| 188 | (2, 5, 5, 1) | (1, 4, 4, 0) | t(4,1)               |
| 189 | (2, 5, 5, 2) | (1, 4, 4, 1) | t(4,2)               |
| 190 | (2, 5, 0, 1) | (1, 4, 5, 0) | t(4,1)               |
| 191 | (2, 5, 0, 2) | (1, 4, 5, 1) | t(4,2)               |
| 192 | (2, 5, 0, 3) | (1, 5, 5, 2) | t(4,3)               |
| 193 | (2, 5, 1, 2) | (1, 4, 0, 1) | t(4,2)               |
| 194 | (2, 5, 1, 3) | (1, 4, 1, 3) | t(2,5)               |
| 195 | (2, 6, 0, 2) | (1, 5, 5, 1) | t(4,2)               |
| 196 | (2, 6, 0, 3) | (1, 5, 5, 2) | t(4,3)               |
| 197 | (2, 6, 1, 2) | (1, 5, 0, 1) | t(4,2)               |
| 198 | (2, 6, 1, 3) | (1, 5, 0, 2) | t(4,3)               |
| 199 | (3, 5, 0, 2) | (2, 5, 5, 1) | t(4,2)               |
| 200 | (3, 5, 0, 3) | (3, 4, 5, 3) | t(3,0)               |
| 201 | (3, 5, 1, 2) | (2, 5, 0, 1) | t(4,2)               |
| 202 | (3, 5, 1, 3) | (2, 5, 1, 2) | t(4,3)               |
| 203 | (3, 6, 0, 2) | (2, 5, 5, 2) | t(3,0)               |
| 204 | (3, 6, 0, 3) | (2, 5, 5, 3) | t(3,0)               |
| 205 | (3, 6, 1, 2) | (2, 6, 1, 2) | t(1,3)               |
| 206 | (3, 6, 1, 3) | (2, 5, 0, 2) | t(4,3)               |
| 207 | (3, 6, 1, 4) | (2, 6, 1, 3) | t(4,4)               |
| 208 | (3, 6, 2, 3) | (2, 6, 2, 2) | t(4,3)               |
| 209 | (3, 6, 2, 4) | (2, 6, 2, 3) | t(4,4)               |
| 210 | (4, 6, 1, 3) | (3, 6, 0, 2) | t(4,3)               |
| 211 | (4, 6, 1, 4) | (3, 6, 0, 3) | t(4,4)               |
| 212 | (4, 6, 2, 3) | (3, 6, 2, 3) | t(1,4)               |
| 213 | (4, 6, 2, 4) | (3, 6, 1, 3) | t(4,4)               |
| 214 | (4, 6, 2, 5) | (3, 5, 2, 4) | t(4,5)               |
| 215 | (4, 6, 3, 4) | (4, 5, 3, 3) | t(4,4)               |
